!WOW!|Mills Novelty Company|March, 1932|1|ME|Unknown
Come Back|Comptoir Industriel De Fabrication Pour L'Automatique|Unknown|4|Unknown|Unknown
Comet|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|June, 1985|4|SS|Happiness - Circus/Carnival - Rollercoaster
Comet|Universal de Desarrollos Electronicos, S.A.|1986|4|SS|Unknown
Comet Ball Junior Table|Field Manufacturing Corporation|February, 1932|1|ME|Unknown
Comics|Rally a.k.a. Rally Play Company|February, 1968|4|EM|Comic Book Characters
Commander|Genco Manufacturing Company|February, 1933|1|ME|Unknown
Commander|Sullivan-Nolan Advertising Company [WWII Conversions Only]|June, 1942|1|EM|Unknown
Commandos|Unknown Manufacturer|Unknown|4|SS|Warfare
Commodore|Chicago Coin Machine Manufacturing Company|December 01, 1939|1|EM|Nautical - Sailing
Comodin|Proyectos Electromecánicos de Tanteo y Color|1972|1|EM|Playing Cards - Gambling
Competición|Proyectos Electromecánicos de Tanteo y Color|Unknown|1|EM|Sports - Futbol - Soccer
Conan|Rowamet Indústria Eletrometalúrgica LTDA|1983|4|SS|Unknown
Concorde|Willy Michiels|Unknown|1|SS|Aviation - Travel - Transportation
Concorde|Eusebio Martinez Garcia|Unknown|1|EM|Aircraft - Historical - Travel
Coney Island|SIRMO Games S.A.|Unknown|1|SS|Unknown
Coney Island|Block Marble Company|Unknown|1|EM|Unknown
Coney Island|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Coney Island|Exhibit Supply Company|1938|1|EM|Unknown
Confucius Say|Rotor Table Games Co, Incorporated|Unknown|1|EM|Unknown
Congo|Bally Manufacturing Corporation|1936|1|EM|Unknown
Congo|Exhibit Supply Company|February, 1940|1|EM|Unknown
Congo|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|November, 1995|4|SS|Jungle
Conquest|Exhibit Supply Company|November, 1939|1|EM|Adventure - Western - Travel
Conquest 200|Playmatic|October, 1976|1|EM|Historical
Conquistador|Irmacor|Unknown|4|SS|Adventure - History
Consumer Pin|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|own|Unknown|SS|Unknown
Contact|Williams Electronics, Incorporated|May, 1978|4|SS|Aliens - Fantasy - Outer Space
Contact|Exhibit Supply Company|April, 1939|1|EM|Wartime
Contact|Stoner Manufacturing Company|April, 1934|1|EM|Unknown
Contact (Baby)|Pacific Amusement Manufacturing Company|January, 1934|1|EM|Unknown
Contact (Junior)|Pacific Amusement Manufacturing Company|February, 1934|1|EM|Unknown
Contact (Master)|Pacific Amusement Manufacturing Company|April, 1934|1|EM|Unknown
Contact (Senior)|Pacific Amusement Manufacturing Company|November, 1933|1|EM|Unknown
Contention|D. Gottlieb &amp; Company|May, 1940|1|EM|Unknown
Contest|D. Gottlieb &amp; Company|October, 1958|4|EM|Unknown
Contest|J. H. Keeney and Company Incorporated|May, 1941|1|EM|Unknown
Contest|Williams Manufacturing Company|October, 1957|1|EM|Unknown
Continental|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Continental|Willy Michiels|Unknown|1|Unknown|Unknown
Continental|Bally Manufacturing Corporation|December, 1980|1|SS|Unknown
Continental 2000|Unknown Manufacturer|Unknown|1|SS|Unknown
Continental Cafe|D. Gottlieb &amp; Company|July, 1957|2|EM|Unknown
Continental Circus|SIRMO Games S.A.|Unknown|1|SS|Circus/Carnival
Continental Lucky 7|General Automatic Amusements|2001|1|SS|Unknown
Continental Magic Game|The Slot Construction Company B.V.B.A.|1991|1|SS|Unknown
Continental One Ball|Eurostar|Unknown|1|SS|Unknown
Continental Top Game|General Automatic Amusements|Unknown|1|Unknown|Unknown
Control Tower|Williams Manufacturing Company|March 07, 1951|1|EM|Aviation
Convention|D. Gottlieb &amp; Company|June, 1940|1|EM|Government - Politics
Coquette|Williams Electronic Manufacturing Company|May, 1962|2|EM|Unknown
Corinthian 10|Witzig's Limited|1930|1|ME|Unknown
Corinthian 15|Witzig's Limited|Unknown|1|ME|Unknown
Corinthian 21S|Witzig's Limited|Unknown|1|ME|Unknown
Corinthian 21T|Witzig's Limited|Unknown|1|ME|Unknown
Corinthian Abbey|Witzig's Limited|1951|1|ME|Unknown
Corinthian Twinity|Witzig's Limited|Unknown|4|ME|Unknown
Coronation|D. Gottlieb &amp; Company|November, 1952|1|EM|Unknown
Coronation Skittles|Unknown Manufacturer|1936|1|EM|Unknown
Corral|D. Gottlieb &amp; Company|September, 1961|1|EM|Western
Corsario|Industria (Electromecánica) de Recreativos S.A|1989|4|SS|Unknown
Corvette|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|August, 1994|4|SS|Car Culture
Cosmic|Taito do Brasil, a division of Taito, Japan|1980|4|SS|Outer Space - Fantasy
Cosmic Flash|NSM Lions|October, 1985|4|SS|Space Fantasy
Cosmic Flash|Bell Games|1985|4|SS|Unknown
Cosmic Gunfight|Williams Electronics, Incorporated|June, 1982|4|SS|Fantasy
Cosmic Pinball|Briarwood, A Division Of Brunswick Manufacturing Company|Unknown|1|SS|Outer Space
Cosmic Pinball|Briarwood, A Division Of Brunswick Manufacturing Company|August, 1977|1|EM|Outer Space
Cosmic Princess|Stern Electronics, Incorporated|August, 1979|4|SS|Astrology
Cosmic Venus||own|Unknown|SS|Dinosaurs - Outer Space - Space Fantasy
Cosmic Wars|Coffee-Mat Amusement Division|Unknown|2|SS|Outer Space - Fantasy
Cosmint|Bally Manufacturing Corporation|January, 1969|4|EM|Outer Space
Cosmodrome|Bell Coin Matics|1980|4|SS|Unknown
Cosmos|Bally Manufacturing Corporation|January, 1969|4|EM|Outer Space
Cosmos|Jacques Martina|1969|4|EM|Astronauts - Outer Space
Cosmos|Unknown Manufacturer|Unknown|1|EM|Outer Space - Fantasy
Costa Brava|Iberomatic S.A.|Unknown|1|EM|Beaches - Boating - Happiness - Sailing - Swimming - Water
Count Down|Novamatic S.p.A.|1970|1|EM|Unknown
Count-Down|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|May, 1979|4|SS|Outer Space
Counter Knock-Out|Superior Amusement Company|July, 1934|1|Unknown|Unknown
Counterforce|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|August, 1980|4|SS|Outer Space - Fantasy
Country Club|Western Equipment &amp; Supply Company|October, 1936|1|EM|Sports - Golfing
County Fair|United Manufacturing Company|September, 1951|1|EM|Sports - Horse Racing
County Fair|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Coupe D'Argent|Scott, Adickes &amp; Cie|December, 1933|1|ME|Unknown
Coupe D'Argent|Bonzini et Sopransi|own|Unknown|Unknown|Unknown
Cover Girl|D. Gottlieb &amp; Company|April, 1945|1|EM|Hollywood Actresses
Cover Girl|D. Gottlieb &amp; Company|July, 1962|1|EM|Glamour - Modeling - Women
Cover Girl|J. H. Keeney and Company Incorporated|December, 1947|1|EM|Unknown
Cow Poke|D. Gottlieb &amp; Company|June, 1965|1|EM|American West
Cowboy|J. H. Keeney and Company Incorporated|August, 1939|1|EM|Rodeo
Cowboy|Chicago Coin Machine Manufacturing Company|January 19, 1970|4|EM|American West
Cowboy Eight Ball|LTD do Brasil Diversões Eletrônicas Ltda|1981|3|SS|Billiards
Cowboy Eight Ball 2|LTD do Brasil Diversões Eletrônicas Ltda|Unknown|4|SS|Billiards
Crack Shot|California Exhibit Company|own|Unknown|EM|Unknown
Crack Shot|Century Manufacturing Company|November, 1934|1|EM|Unknown
Crack Shot|Automat Games Company|August, 1935|1|ME|Unknown
Cracker Jack|Chicago Coin Machine Manufacturing Company|November 20, 1936|1|EM|Unknown
Crazy Ball|Unknown Manufacturer|Unknown|1|EM|Dancing - Fashion
Crazy Ball|Chicago Coin Machine Manufacturing Company|July 07, 1948|1|EM|Sports - Baseball
Crazy Clock|Sega Enterprises, Ltd.|1972|2|EM|Unknown
Crazy Lane|California Exhibit Company|1935|1|EM|Unknown
Crazy Race|Recel S. A.|August, 1978|4|SS|Sports - Auto Racing
Creature from the Black Lagoon|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|December, 1992|4|SS|Drive-In Movies - Fictional - Licensed Theme
Credit|Rock-ola Manufacturing Corporation|July, 1936|1|EM|Unknown
Crescendo|D. Gottlieb &amp; Company|May, 1970|2|EM|Music - Singing - Dancing
Crescendo|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Unknown
Criss Cross|D. Gottlieb &amp; Company|January 30, 1958|1|EM|Sports - Snow Skiing - Recreation
Criss Cross|Genco Manufacturing Company|November, 1934|1|ME|Unknown
Criss Cross|Joseph Schneider Incorporated|Unknown|1|ME|Unknown
Criss Cross 'A' Lite|Genco Manufacturing Company|February, 1935|1|EM|Unknown
Criss Cross Pop-Up|Chicago Coin Machine Manufacturing Company|1967|1|EM|Unknown
Criterium 2000|Proyectos Electromecánicos de Tanteo y Color|Unknown|1|EM|Sports - Bicycling
Criterium 2000|Recel S. A.|1975|1|EM|Sports - Bicycling
Criterium 75|Recel S. A.|1978|4|SS|Sports - Bicycle Racing
Criterium 75|Recel S. A.|April, 1975|4|EM|Sports - Bicycle Racing
Criterium 75|Proyectos Electromecánicos de Tanteo y Color|Unknown|4|SS|Sports - Bicycle Racing
Criterium 80|Proyectos Electromecánicos de Tanteo y Color|1975|1|EM|Sports - Bicycle Racing
Criterium 80|Recel S. A.|1975|1|EM|Sports - Bicycle Racing
Critical Mass|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|Unknown|4|SS|Unknown
Croce D'Oro|Splin S.A.|Unknown|1|SS|Unknown
Crocket|Giorgio Massiero|1976|1|EM|Croquet - Games - Happiness
Cross Country|Bally Manufacturing Corporation|March, 1963|1|EM|American Places - Travel
Cross Fire|Exhibit Supply Company|May, 1947|1|EM|Dancing
Cross Fire Flash|D. Gottlieb &amp; Company|own|Unknown|EM|Unknown
Cross Roads|Stoner Manufacturing Company|June, 1935|1|EM|Railroads - Trains - Transportation - Travel
Cross Town|Rotor Table Games Co, Incorporated|October, 1935|1|EM|Unknown
Cross Town|D. Gottlieb &amp; Company|September, 1966|1|EM|City Living
Cross Word Puzzle|Stoner Manufacturing Company|January, 1935|1|EM|Unknown
Cross-Country|O. D. Jennings and Company|June, 1935|1|EM|American Places - Travel
Cross-Line|Bally Manufacturing Corporation|February, 1941|1|EM|Unknown
Crossline|Bally Manufacturing Corporation|May, 1937|1|EM|Unknown
Crossroads|D. Gottlieb &amp; Company|May, 1952|1|EM|Automobile Travel
Crossword|Williams Electronic Manufacturing Company|April 25, 1959|1|EM|Games - Recreation - Puzzles
Crosswords|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Crown Jewels|Block Marble Company|Unknown|1|EM|Unknown
Crown Soccer Special|Taito|July, 1967|2|EM|Sports - Soccer
Crusader|Bally Manufacturing Corporation|July, 1933|1|ME|Historical - Medieval
Crystal Ball|The International Automatic Company|own|Unknown|Unknown|Unknown
Crystal-Ball|Talleres del Llobregat S.A. [Automaticos]|Unknown|1|EM|Fortune Telling
CSI|Stern Pinball, Incorporated|November, 2008|4|SS|Crime Investigation - Licensed Theme
Cuckoo|J. H. Singer|Unknown|1|ME|Unknown
Cue|Stern Electronics, Incorporated|1982|4|SS|Billiards
Cue Ball|Williams Manufacturing Company|December 08, 1956|1|EM|Billiards
Cue Ball Wizard|Premier Technology|October, 1992|4|SS|Billiards - Celebrities - Fictional
Cue Junior|Chicago Coin Machine Manufacturing Company|January 27, 1936|1|EM|Billiards
Cue Senior De Luxe|Chicago Coin Machine Manufacturing Company|January 27, 1936|1|EM|Billiards
Cue Standard|Chicago Coin Machine Manufacturing Company|January 27, 1936|1|EM|Billiards
Cue-T|Williams Electronics, Incorporated|November 18, 1968|1|EM|Billiards
Cue-Tease|Bally Manufacturing Corporation|July, 1963|2|EM|Billiards
Cue-Tee|Williams Manufacturing Company|July 20, 1954|1|EM|Billiards
Cueball|B &amp; L Co.|Unknown|1|ME|Unknown
Curling|Rally a.k.a. Rally Play Company|1965|2|EM|Sports - Curling
Cybernaut|Bally Midway Manufacturing Company|May, 1985|4|SS|Unknown
Cybernaut|Bally Wulff|1986|4|SS|Unknown
Cyclone|Williams Electronics, Incorporated|July, 1981|4|SS|Unknown
Cyclone|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|February, 1988|4|SS|Happiness - Circus/Carnival
Cyclone|D. Gottlieb &amp; Company|February, 1935|1|EM|Unknown
Cyclone|D. Gottlieb &amp; Company|April, 1951|1|EM|Cyclones - Weather
Cyclone|Williams Manufacturing Company|April 21, 1947|1|EM|Unknown
Cyclone|Delmar Manufacturing Company|June, 1932|1|ME|Unknown
Cyclopes|Game Plan, Incorporated|November, 1985|4|SS|Fantasy - Myth and Legend
Cyclops|Williams Electronics, Incorporated|own|Unknown|SS|Unknown
Cypress Gardens|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
D. Quijote|Recel S. A.|1979|4|SS|Adventure - Fictional Characters
D. Quijote|Proyectos Electromecánicos de Tanteo y Color|Unknown|4|SS|Adventure - Fictional Characters
Daffie|Williams Electronics, Incorporated|May 17, 1968|1|EM|Unknown
Daffy Derby|Williams Manufacturing Company|June 18, 1954|1|EM|Unknown
Dai Uchuu Ryokou|Japan Automatic Vending Machine Company, Ltd.|Unknown|1|EM|Outer Space - Space Exploration
Daily Double|Daval Mfg Company Incorporated, G.B.|September, 1935|1|EM|Unknown
Daily Dozen|Bally Manufacturing Corporation|January, 1937|1|EM|Unknown
Daily Limit|O. D. Jennings and Company|May, 1936|1|EM|Unknown
Daily Races|D. Gottlieb &amp; Company|March, 1936|1|EM|Horse Racing
Daily Races|Unknown Manufacturer|1947|1|Unknown|Horse Racing
Dairylea|Scientific Machine Corporation|January, 1935|1|EM|Unknown
Daisy|Peo Manufacturing Corporation|April, 1932|1|ME|Unknown
Daisy May|D. Gottlieb &amp; Company|June 08, 1954|1|EM|Happiness
Dakar|Mr. Game|June, 1988|4|SS|Racing
Dakota|Maquinas Recreativas Sociedad Anonima|1972|1|EM|Western
Dakota II|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Western
Dale Jr.|Stern Pinball, Incorporated|2007|4|SS|Sports - Auto Racing
Dallas|Williams Manufacturing Company|February 04, 1949|1|EM|American Places
Dallas|SIRMO Games S.A.|1984|1|SS|Unknown
Dancing|Centro Matic S.A.|Unknown|1|EM|Unknown
Dancing Dan|Unknown Manufacturer|Unknown|1|EM|Dancing - Music - Riverboats
Dancing Dolls|D. Gottlieb &amp; Company|May, 1960|1|EM|Music - Dancing
Dancing Dolls (Prototype)|D. Gottlieb &amp; Company|Unknown|1|EM|Music - Dancing
Dancing Lady|D. Gottlieb &amp; Company|November, 1966|4|EM|Ballet - Dancing - Nightlife
Dandy|Bally Manufacturing Corporation|February, 1940|1|EM|Unknown
Darby|Reliance Cabinet Company, Incorporated|June, 1932|1|ME|Unknown
Dardos|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Darts - Games
Dark Horse|Bally Manufacturing Corporation|November, 1940|1|EM|Sports - Horse Racing
Dark Rider|Geiger-Automatenbau GmbH|1984|4|SS|Fantasy
Dark Shadow|Nuova Bell Games|1986|4|SS|Fantasy
Darling|Segasa|1973|2|EM|Unknown
Darling|Williams Electronics, Incorporated|September 29, 1973|2|EM|Unknown
Darts|Williams Electronic Manufacturing Company|June 13, 1960|1|EM|Sports - Darts
Dauphin|Show Games|Unknown|1|SS|Dolphins - Mermaids - Water
Davy Jones|Stoner Manufacturing Company|September, 1939|1|EM|Hard Hat Diving - Mythology - Nautical - Treasure
Daytona|Stoner Manufacturing Company|July, 1937|1|EM|American Places
Daytona|SIRMO Games S.A.|2011|1|SS|Unknown
Daytona|SIRMO Games S.A.|1990|1|SS|Unknown
Daytona Beach|Bally Manufacturing Corporation|1958|1|EM|Beach - Happiness - Recreation - Swimming - Women
De Luxe Baseball 1953|Williams Manufacturing Company|April, 1953|1|EM|Sports - Baseball
De Luxe E Three|Shyvers Coin Automatic Machine Company|January, 1934|1|ME|Unknown
De-Icer|Sullivan-Nolan Advertising Company [WWII Conversions Only]|June, 1942|1|EM|Unknown
De-Icer|Williams Manufacturing Company|November 18, 1949|1|EM|Aviation - Travel - Women
De-Lux|Unknown Manufacturer|Unknown|1|ME|Unknown
Dead Heat|Western Products, Incorporated|September, 1939|1|EM|Sports - Horse Racing
Deadly Weapon|Premier Technology|September, 1990|4|SS|Unknown
Dealer|Joseph Schneider Incorporated|Unknown|1|ME|Unknown
Dealer|Automatic Amusements Company|May, 1935|1|EM|Gambling
Dealer|Exhibit Supply Company|May, 1935|1|EM|Blackjack - Gambling
Dealer|Williams Manufacturing Company|December 18, 1953|1|EM|Blackjack - Cards/Gambling
Dealer's Choice|Williams Electronics, Incorporated|March 13, 1974|4|EM|Cards/Gambling
Dealer's Choice|Segasa|1974|4|EM|Unknown
Death Dealer|Pin Ball Manufacturing Company|September, 1976|1|Unknown|Unknown
Deauville|L. B. Elliott Products Company, Incorporated|March, 1937|1|EM|Unknown
Defender|MM Computer Games|1987|4|SS|Adventure - Fantasy
Defender|Williams Electronics, Incorporated|December, 1982|2|SS|Outer Space - Fantasy
Defense|Genco Manufacturing Company|June, 1943|1|EM|Military - Naval - World War II - Patriotic
Defense|Baker Novelty and Manufacturing Company|November, 1940|1|EM|Air Corps - Army - Marines - Military - Naval - Navy - Warfare
Delhi|Dallas Novelty Sales Company Incorporated|November, 1932|2|ME|Unknown
Delta Queen|Bally Manufacturing Corporation|July, 1974|1|EM|American History - American West - Riverboats
Deluxe|Keeney and Sons|April, 1932|1|ME|Unknown
Deluxe 46|Rock-ola Manufacturing Corporation|October, 1935|1|EM|Unknown
Deluxe Baseball|Midway Manufacturing Company|1962|1|EM|Sports - Baseball
DeLuxe Baseball|Western Products, Incorporated|October, 1939|1|EM|Sports - Baseball
Deluxe Baseball|United Manufacturing Company|March, 1960|2|EM|Sports - Baseball
Deluxe Batting Champ|Williams Electronic Manufacturing Company|April, 1961|1|EM|Sports - Baseball
Deluxe Derby Roll|United Manufacturing Company|Unknown|2|EM|Sports - Horse Racing
Deluxe Fun Cruise|Bally Manufacturing Corporation|Unknown|1|EM|Happiness - Recreation – Travel – World Places
Deluxe Jumbo|D. Gottlieb &amp; Company|October, 1954|4|EM|Unknown
Deluxe Official|Mills Novelty Company|December, 1932|1|ME|Unknown
Deluxe Official Baseball|Williams Electronic Manufacturing Company|February, 1960|2|EM|Sports - Baseball
Deluxe Pinch-Hitter|Williams Electronic Manufacturing Company|April, 1959|2|EM|Sports - Baseball
DeLuxe Register|D. Gottlieb &amp; Company|May, 1938|1|EM|Unknown
Deluxe Short-Stop|Williams Manufacturing Company|April, 1958|2|EM|Sports - Baseball
Deluxe Special Baseball|Williams Manufacturing Company|June, 1953|1|EM|Sports - Baseball
Deluxe Super Slugger|United Manufacturing Company|April, 1955|2|EM|Sports - Baseball
Deluxe Twins|DeLuxe Amusement Company|June, 1932|2|ME|Unknown
Deluxe Twins Senior|DeLuxe Amusement Company|February, 1933|2|ME|Unknown
Deluxe Wild Widow|Carrohart Specialty Company|1933|1|Unknown|Unknown
Deluxe World Series|Williams Manufacturing Company|1952|1|EM|Sports - Baseball
Deluxe World Series|Chicago Coin Machine Manufacturing Company|1974|2|EM|Sports - Baseball
Demolition Classic|Briarwood, A Division Of Brunswick Manufacturing Company|1979|1|SS|Sports - Auto Racing
Demolition Man|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|February, 1994|4|SS|Science Fiction - Licensed Theme
Derby||1933|1|ME|Horse Racing
Derby|Centro Matic S.A.|Unknown|1|EM|Sports - Horse Racing
Derby|Chicago Coin Machine Manufacturing Company|1951|4|EM|Sports - Horse Racing
Derby|A.M.I|1975|1|EM|Unknown
Derby|Elettrocoin|1970|1|EM|Sports - Horse Racing
Derby 1941|Bally Manufacturing Corporation|August, 1941|1|EM|Unknown
Derby 1947|Victory Sales Company|1947|1|EM|Sports - Horse Racing
Derby Champ|J. H. Keeney and Company Incorporated|March, 1938|1|EM|Sports - Horse Racing
Derby Clock|Western Products, Incorporated|January, 1939|1|EM|Sports - Horse Racing
Derby Dash|Bromley, Inc.|1995|4|SS|Sports - Horse Racing
Derby Day|Williams Electronics, Incorporated|October 11, 1967|2|EM|Horse Racing
Derby Day|D. Gottlieb &amp; Company|August, 1936|1|EM|Unknown
Derby Day|Artists and Creators Guild Incorporated|May, 1932|1|ME|Unknown
Derby Day|D. Gottlieb &amp; Company|April, 1956|1|EM|Sports - Horse Racing
Derby Daze|Sega Pinball, Incorporated|own|Unknown|SS|Sports - Horse Racing
Derby King|Western Products, Incorporated|December, 1938|1|EM|Unknown
Derby King|Great Lakes Coin Machine Company|August, 1947|1|EM|Sports - Horse Racing
Derby Roll|United Manufacturing Company|May, 1955|2|EM|Sports - Horse Racing
Derby Time|Western Products, Incorporated|October, 1938|1|EM|Unknown
Derby Winner|Western Products, Incorporated|August, 1941|1|EM|Unknown
Destroyer|Sullivan-Nolan Advertising Company [WWII Conversions Only]|January, 1943|1|EM|Unknown
Deuces Wild|Warren Manufacturing Company|March, 1932|1|ME|Unknown
Deuil James|Unknown Manufacturer|Unknown|1|EM|Fictional Characters - Horror - Myth and Legend - Vampires
Devil|Nordamatic|1978|1|EM|Unknown
Devil King|Tecnoplay|1987|4|SS|Unknown
Devil Riders|Zaccaria|April, 1984|4|SS|Stunt motorcycles
Devil's Dare|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|August, 1982|4|SS|Fantasy
Devils|Dama S.R.L.|1970|1|EM|Unknown
Dew-Wa-Ditty|Williams Manufacturing Company|June 24, 1948|1|EM|Happiness - Music - Singing
Dexterity Play||Unknown|1|EM|Unknown
Diamond Ball|Keeney and Sons|March, 1932|1|ME|Unknown
Diamond Flipper|Splin S.A.|Unknown|1|SS|Unknown
Diamond Flipper Di Lusso|Splin S.A.|Unknown|1|SS|Unknown
Diamond Jack|D. Gottlieb &amp; Company|April, 1967|1|EM|Cards/Gambling
Diamond Jim|The Henry W.T. Mali &amp; Co., Inc.|1977|1|SS|Unknown
Diamond Lady|Premier Technology|February, 1988|4|SS|Cards/Gambling
Diamond Lill|D. Gottlieb &amp; Company|December, 1954|1|EM|Unknown
Diamond Mine|Buckley Manufacturing Company|1935|1|EM|Unknown
Diamond Score Pool|Williams Manufacturing Company|Unknown|2|EM|Billiards
Diamond-Flash|K-A Manufacturing Company|June, 1932|1|ME|Unknown
Diana|Rowamet Indústria Eletrometalúrgica LTDA|Unknown|2|SS|Fantasy
Dice Box|Unknown Manufacturer|1933|1|ME|Gambling - Dice
Dig-A-Star|Talleres del Llobregat S.A. [Automaticos]|1966|1|EM|Unknown
Dimension|D. Gottlieb &amp; Company|February, 1971|1|EM|Unknown
dimensional|Niemer S.A.|Unknown|2|SS|Unknown
Diner|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|September, 1990|4|SS|Happiness - Food
Ding Dong|Williams Electronics, Incorporated|February 16, 1968|1|EM|Happiness - School
Dingbat|A. M. Walzer Company|1932|1|ME|Sports - Baseball
Dino Turbo|Geiger-Automatenbau GmbH|1990|4|SS|Sports - Auto Racing
Dinosaur Eggs|Alvin G. and Company|August, 1993|1|SS|Dinosaurs
Dipsy Doodle|Williams Electronics, Incorporated|December 05, 1970|4|EM|Happiness - Dancing
Dirty Harry|Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated|March, 1995|4|SS|Celebrities - Fictional - Licensed Theme
Disco|Stern Electronics, Incorporated|June, 1977|2|EM|Music - Singing - Dancing
Disco '79|Allied Leisure Industries, Incorporated|June, 1979|4|SS|Dancing
Disco Dancing|LTD do Brasil Diversões Eletrônicas Ltda|Unknown|2|SS|Dancing - Happiness - Music - Nightlife
Disco Fever|Williams Electronics, Incorporated|August, 1978|4|SS|Happiness - Dancing
Discotek|Bally Manufacturing Corporation|September, 1965|2|EM|Happiness - Music - Dancing
Discovery|Pacific Amusement Manufacturing Company|September, 1935|1|EM|Unknown
Discovery|Bally Manufacturing Corporation|1935|1|EM|Unknown
Disk Jockey|Williams Manufacturing Company|November 10, 1952|1|EM|Happiness - Music - Dancing
Disney TRON Legacy|Stern Pinball, Incorporated|2011|4|SS|Licensed Theme - Science Fiction
Disney TRON Legacy (3rd Edition)|Stern Pinball, Incorporated|2012|4|SS|Licensed Theme - Science Fiction
Disney TRON Legacy (4th Edition)|Stern Pinball, Incorporated|2013|4|SS|Licensed Theme - Science Fiction
Disney TRON Legacy (Limited Edition)|Stern Pinball, Incorporated|2011|4|SS|Licensed Theme - Science Fiction
Ditto|Rock-ola Manufacturing Corporation|March, 1936|1|EM|Unknown
Dive Bomber|Unknown Manufacturer|August, 1943|1|EM|Aircraft - Airplanes - Airports - Aviation - Flying - Warfare
Dixie|Playmatic|1980|1|SS|Unknown
Dixie|Chicago Coin Machine Manufacturing Company|August 19, 1940|1|EM|Unknown
Dixieland|SIRMO Games S.A.|Unknown|1|SS|American Places - Music
Dixieland|Bally Manufacturing Corporation|April, 1968|1|EM|American Places - Happiness - Music
Dixieland|Bally Manufacturing Corporation|August, 1978|1|EM|Unknown
Do or Don't|Western Equipment &amp; Supply Company|June, 1935|1|EM|Unknown
Do Re Me|Exhibit Supply Company|May, 1941|1|EM|Unknown
Doctor Who|Midway Manufacturing Company, a subsidiary of WMS Industries, Incorporated|September, 1992|4|SS|Celebrities - Fictional - Licensed Theme
Dodge City|D. Gottlieb &amp; Company|July, 1965|4|EM|American West
Dogies|Bally Manufacturing Corporation|January, 1968|4|EM|American West
Dogs Race|Bigliardini Elettronici Milano|Unknown|1|EM|Dog Racing
Dolly|Marvel Manufacturing Company|November, 1947|1|EM|Terpsichorean Entertainment - Girls - Women
Dolly Parton|Bally Manufacturing Corporation|November, 1979|4|SS|Celebrities - Licensed - Music - Singing
Dolphin|Chicago Coin Machine Manufacturing Company|March 25, 1974|2|EM|Aquatic Parks
Domino|D. Gottlieb &amp; Company|September, 1968|1|EM|Happiness - Games
Domino|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Unknown
Domino|Williams Manufacturing Company|May 27, 1952|1|EM|Carnival - Happiness - Music - Dancing
Domino|Daval Mfg Company Incorporated, G.B.|January, 1935|1|EM|Unknown
Domino|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|Unknown|4|SS|Dominoes - Games
Domino Bowler|J. H. Keeney and Company Incorporated|June, 1953|1|EM|Unknown
Domino One Ball|SIRMO Games S.A.|1996|1|SS|Unknown
Domino One Ball|SIRMO Games S.A.|Unknown|1|SS|Unknown
Domino Roulette|SIRMO Games S.A.|Unknown|1|SS|Casino - Gambling
Dona Elvira|Irmacor|Unknown|4|SS|Unknown
Dona Elvira 2|Creaciones e Investigaciones Electrónicas, Sociedad Limitada|1996|4|SS|Unknown
Doodle Bug|Williams Electronics, Incorporated|March 18, 1971|1|EM|Dancing - Happiness - Music
Doozie|Williams Electronics, Incorporated|August 26, 1968|1|EM|Happiness
Doppelt|Unknown Manufacturer|Unknown|1|ME|Unknown
Double Action|D. Gottlieb &amp; Company|December, 1958|2|EM|Unknown
Double Action|Genco Manufacturing Company|December, 1951|1|EM|Unknown
Double Barrel|Williams Electronic Manufacturing Company|August 11, 1961|2|EM|Western
Double Barrel|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Double Crown|General Automatic Amusements|Unknown|1|SS|Unknown
Double Feature|Bally Manufacturing Corporation|March, 1939|1|EM|Unknown
Double Feature|Bally Manufacturing Corporation|May, 1948|1|EM|Unknown
Double Feature|Victory Sales Company|April, 1946|1|EM|Unknown
Double Feature|Stoner Manufacturing Company|March, 1940|1|EM|Unknown
Double Feature|D. Gottlieb &amp; Company|January, 1937|1|EM|Unknown
